Nome da Vaga,Nome da Empresa,Local da Vaga,Foi postada a:,Link da vaga:
Desenvolvedor RPA,Bellinati Perez,"Curitiba, PR",Há 6 dias,https://br.linkedin.com/jobs/view/desenvolvedor-rpa-at-bellinati-perez-4317228244?position=49&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=lDB4%2F2cOOZS9DS5PwJS3sw%3D%3D
Desenvolvedor Python - Trabalho Remoto,BairesDev,"São Paulo, Brasil",Há 2 dias,https://br.linkedin.com/jobs/view/desenvolvedor-python-trabalho-remoto-at-bairesdev-4319403000?position=50&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=4UBWk%2BjUJWngJ86ip9JUlw%3D%3D
462025-2 - BOLSISTA (Doutorado),Sistema FIERGS,"São Leopoldo, RS",Há 6 dias,https://br.linkedin.com/jobs/view/462025-2-bolsista-doutorado-at-fiergs-4331307176?position=51&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=5cbTILpix3JcvNlInzUsPg%3D%3D
Especialista de Business Intelligence,IPV7,"Cachoeirinha, RS",Há 22 horas,https://br.linkedin.com/jobs/view/especialista-de-business-intelligence-at-ipv7-4333073209?position=52&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=3W9O5fLs4l2nxj1fcH%2BIVA%3D%3D
Pessoa Tech Lead - Especialista Python,Pulsus,Brasil,Há 6 dias,https://br.linkedin.com/jobs/view/pessoa-tech-lead-especialista-python-at-pulsus-4316760612?position=53&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=Ud0UPGgek1HwncWlHPklxw%3D%3D
Desenvolvedor Python - Trabalho Remoto,BairesDev,"Belo Horizonte, MG",Há 2 dias,https://br.linkedin.com/jobs/view/desenvolvedor-python-trabalho-remoto-at-bairesdev-4319393137?position=54&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=%2BdMFOdOWo8sbOo2xObthGQ%3D%3D
Analista de Automação Pleno - Duque de Caxias/RJ,Shopee,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-automa%C3%A7%C3%A3o-pleno-duque-de-caxias-rj-at-shopee-4319518211?position=55&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=kEkx7mzeHjZjZxPLoJ6ZJg%3D%3D
RD Station - Pessoa Analista de Marketing de Dados Senior – CRM e Segmentação,RD Station,Brasil,Há 3 dias,https://br.linkedin.com/jobs/view/rd-station-pessoa-analista-de-marketing-de-dados-senior-%E2%80%93-crm-e-segmenta%C3%A7%C3%A3o-at-rd-station-4319113108?position=56&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=E%2BCq4D%2BiCB5ZwMDQcTC3aQ%3D%3D
Engenheiro de Dados,IORQ,"São Paulo, SP",Há 2 dias,https://br.linkedin.com/jobs/view/engenheiro-de-dados-at-iorq-4332875950?position=57&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=KVPATe6vO%2Flnx0XWnHYUYw%3D%3D
Analista de Trading de Energia Jr - Mesa de Energia,Genial Investimentos,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-trading-de-energia-jr-mesa-de-energia-at-genial-investimentos-4333021459?position=58&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=EOG7emhz5iPi343CLlXcwQ%3D%3D
